chunk_id,source_file,doc_title,doc_type,product_family,entry_id,version,language,page,chunk_index,page_chunk_count,chunk_text,char_count,word_count,is_boilerplate
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p1_c1,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,1,1,1,"S7-1200 G2 Migration
Tool Documentation
Add-In / TIA Portal V21 / V2.0.1
Siemens
Industry
Online
Support",104,16,False
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p2_c1,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,2,1,7,"Entry ID: 109986503 | V2.0.1 | 06/2026 Generated with Code2Docu © Siemens 2026 | 2
Legal information
Use of application examples
Application examples illustrate the solution of automation tasks through an interaction of several components in the form of text,
graphics and/or software modules. The application examples are a free service by Siemens AG and/or a subsidiary of Siemens AG
(""Siemens""). They are non-binding and make no claim to completeness or functionality regarding configuration and equipment. The
application examples merely offer help with typical tasks; they do not constitute customer-specific solutions. The application examples
are not subject to standard tests and quality inspections of a chargeable product and may contain functional and performance
defects or other faults and security vulnerabilities.",828,120,True
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p2_c2,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,2,2,7,"tests and quality inspections of a chargeable product and may contain functional and performance
defects or other faults and security vulnerabilities. You are responsible for the proper and safe operation of the products in
accordance with all applicable regulations, including checking and customizing the application example for your system, and
ensuring that only trained personnel use it in a way that prevents property damage or injury to persons. You are solely
responsible for any productive use.
Siemens grants you the non-exclusive, non-sublicensable and non-transferable right to have the application examples used by technically
trained personnel. Any change to the application examples is your responsibility. Sharing the application examples with third parties or
copying the application examples or excerpts thereof is permitted only in combination with your own products. Any further use of the
application examples is explicitly not permitted and further rights are not granted.",994,145,True
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p2_c3,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,2,3,7,"nly in combination with your own products. Any further use of the
application examples is explicitly not permitted and further rights are not granted. You are not allowed to use application examples in
any other way, including, without limitation, for any direct or indirect training or enhancements of AI models.

Disclaimer of liability
Siemens shall not assume any liability, for any legal reason whatsoever, including, without limitation, liability for the usability,
availability, completeness and freedom from defects of the application examples as well as for related information, configuration and
performance data and any damage caused thereby. This shall not apply in cases of mandatory liability, for example under the German
Product Liability Act, or in cases of intent, gross negligence, or culpable loss of life, bodily injury or damage to health, non-compliance
with a guarantee, fraudulent non-disclosure of a defect, or culpable breach of material contractual obligations.",989,147,False
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p2_c4,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,2,4,7,"y or damage to health, non-compliance
with a guarantee, fraudulent non-disclosure of a defect, or culpable breach of material contractual obligations. Claims for damages
arising from a breach of material contractual obligations shall however be limited to the foreseeable damage typical of the type of
agreement, unless liability arises from intent or gross negligence or is based on loss of life, bodily injury or damage to health. The
foregoing provisions do not imply any change in the burden of proof to your detriment. You shall indemnify Siemens against existing or
future claims of third parties in this connection except where Siemens is mandatorily liable.
By using the application examples you acknowledge that Siemens cannot be held liable for any damage beyond the liability provisions
described.",808,125,False
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p2_c5,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,2,5,7,"liable.
By using the application examples you acknowledge that Siemens cannot be held liable for any damage beyond the liability provisions
described.

Other information
Siemens reserves the right to make changes to the application examples at any time without notice and to terminate your use of the
application examples at any time. In case of discrepancies between the suggestions in the application examples and other Siemens
publications such as catalogs, the content of the other documentation shall have precedence.
The Siemens terms of use (https://www.siemens.com/global/en/general/terms-of-use) shall also apply.",622,88,False
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p2_c6,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,2,6,7,"of the other documentation shall have precedence.
The Siemens terms of use (https://www.siemens.com/global/en/general/terms-of-use) shall also apply.

Cybersecurity information
Siemens provides products and solutions with industrial cybersecurity functions that support the secure operation of plants, systems,
machines and networks.
In order to protect plants, systems, machines and networks against cyber threats, it is necessary to implement – and continuously
maintain – a holistic, state-of-the-art industrial cybersecurity concept. Siemens’ products and solutions constitute one element of such a
concept.
Customers are responsible for preventing unauthorized access to their plants, systems, machines and networks. Such systems, machines
and components should only be connected to an enterprise network or the internet if and to the extent such a connection is necessary
and only when appropriate security measures (e.g.",927,124,False
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p2_c7,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,2,7,7,"nnected to an enterprise network or the internet if and to the extent such a connection is necessary
and only when appropriate security measures (e.g. firewalls and/or network segmentation) are in place.
For additional information on industrial cybersecurity measures that may be implemented, please visit www.siemens.com/cybersecurity-
industry.
Siemens’ products and solutions undergo continuous development to make them more secure. Siemens strongly recommends that
product updates are applied as soon as they are available and that the latest product versions are used. Use of product versions that are
no longer supported, and failure to apply the latest updates may increase customer’s exposure to cyber threats.
To stay informed about product updates, subscribe to the Siemens Industrial Cybersecurity RSS Feed under
https://www.siemens.com/cert.",853,120,False
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p3_c1,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,3,1,4,"Table of contents
Entry ID: 109986503 | V2.0.1 | 06/2026 Generated with Code2Docu © Siemens 2026 | 3
Table of contents
1. Introduction ................................ ................................ ................................ ................................ ...4
1.1. Overview ................................ ................................ ................................ ................................ ..................... 4
2. Handling ................................ ................................ ................................ ................................ ........5
2.1. Installation ................................ ................................ ................................ ................................ ................... 5
2.2. Migration Check ................................ ................................ ................................ ................................ ........... 5
2.3.",939,61,False
109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en_p3_c2,109986503_TIA_Add-In_MigrationTool_S7-1200_G2_DOC_V2_0_1_en.csv,S7-1200 G2 Migration Tool Documentation (TIA Portal Add-In),Add-In / Migration Tool Documentation,S7-1200,109986503,2.0.1,en,3,2,4,"................................ ................................ ................................ ................................ ........... 5
2.3. Extension of Migration Tool ................................ ................................ ................................ .......................... 6
2.4. System properties ................................ ................................ ................................ ................................ ......... 6
3. Operation ................................ ................................ ................................ ................................ .......7
3.1. Execution of SIMATIC S7-1200 G2 Migration Tool ................................ ................................ .......................... 7
3.2. Result window after execution of migration function ................................ ................................ ................... 10
3.3. Log file of Migration Tool ................................",985,63,False
