chunk_id,source_file,doc_title,doc_type,product_family,entry_id,version,language,page,chunk_index,page_chunk_count,chunk_text,char_count,word_count,is_boilerplate
81318674_Programming_guideline_DOC_v16_en_p1_c1,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,1,1,1,"Programming
Guideline for
S7-1200/1500

TIA Portal

https://support.industry.siemens.com/cs/ww/en/view/81318674

Siemens
Industry
Online
Support",144,11,False
81318674_Programming_guideline_DOC_v16_en_p2_c1,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,2,1,7,"Legal information

Programming Guideline for S7-1200/1500
Entry ID: 81318674, V1.6, 12/2018 2

 Siemens AG 2018 All rights reserved
Legal information
Use of application examples
Application examples illustrate the solution of automation tasks through an interaction of several
components in the form of text, graphics and/or software modules. The application examples are
a free service by Siemens AG and/or a subsidiary of Siemens AG (“Siemens”). They are non-
binding and make no claim to completeness or functionality regarding configuration and
equipment. The application examples merely offer help with typical tasks; they do not constitute
customer-specific solutions.",675,96,True
81318674_Programming_guideline_DOC_v16_en_p2_c2,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,2,2,7,"arding configuration and
equipment. The application examples merely offer help with typical tasks; they do not constitute
customer-specific solutions. You yourself are responsible for the proper and safe operation of the
products in accordance with applicable regulations and must also check the function of the
respective application example and customize it for your system.
Siemens grants you the non-exclusive, non-sublicensable and non-transferable right to have the
application examples used by technically trained personnel. Any change to the application
examples is your responsibility. Sharing the application examples with third parties or copying the
application examples or excerpts thereof is permitted only in combination with your own products.
The application examples are not required to undergo the customary tests and quality inspections
of a chargeable product; they may have functional and performance defects as well as errors.",949,135,True
81318674_Programming_guideline_DOC_v16_en_p2_c3,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,2,3,7,"ed to undergo the customary tests and quality inspections
of a chargeable product; they may have functional and performance defects as well as errors. It is
your responsibility to use them in such a manner that any malfunctions that may occur do not
result in property damage or injury to persons.

Disclaimer of liability
Siemens shall not assume any liability, for any legal reason whatsoever, including, without
limitation, liability for the usability, availability, completeness and freedom from defects of the
application examples as well as for related information, configuration and performance data and
any damage caused thereby. This shall not apply in cases of mandatory liability, for example
under the German Product Liability Act, or in cases of intent, gross negligence, or culpable loss of
life, bodily injury or damage to health, non-compliance with a guarantee, fraudulent
non-disclosure of a defect, or culpable breach of material contractual obligations.",973,148,False
81318674_Programming_guideline_DOC_v16_en_p2_c4,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,2,4,7,"y or damage to health, non-compliance with a guarantee, fraudulent
non-disclosure of a defect, or culpable breach of material contractual obligations. Claims for
damages arising from a breach of material contractual obligations shall however be limited to the
foreseeable damage typical of the type of agreement, unless liability arises from intent or gross
negligence or is based on loss of life, bodily injury or damage to health. The foregoing provisions
do not imply any change in the burden of proof to your detriment. You shall indemnify Siemens
against existing or future claims of third parties in this connection except where Siemens is
mandatorily liable.
By using the application examples you acknowledge that Siemens cannot be held liable for any
damage beyond the liability provisions described.",808,125,False
81318674_Programming_guideline_DOC_v16_en_p2_c5,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,2,5,7,"liable.
By using the application examples you acknowledge that Siemens cannot be held liable for any
damage beyond the liability provisions described.

Other information
Siemens reserves the right to make changes to the application examples at any time without
notice. In case of discrepancies between the suggestions in the application examples and other
Siemens publications such as catalogs, the content of the other documentation shall have
precedence.
The Siemens terms of use (https://support.industry.siemens.com) shall also apply.",538,76,False
81318674_Programming_guideline_DOC_v16_en_p2_c6,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,2,6,7,"alogs, the content of the other documentation shall have
precedence.
The Siemens terms of use (https://support.industry.siemens.com) shall also apply.

Security information
Siemens provides products and solutions with industrial security functions that support the secure
operation of plants, systems, machines and networks.
In order to protect plants, systems, machines and networks against cyber threats, it is necessary
to implement – and continuously maintain – a holistic, state-of-the-art industrial security concept.
Siemens’ products and solutions constitute one element of such a concept.
Customers are responsible for preventing unauthorized access to their plants, systems, machines
and networks. Such systems, machines and components should only be connected to an
enterprise network or the Internet if and to the extent such a connection is necessary and only
when appropriate security measures (e.g.",913,127,False
81318674_Programming_guideline_DOC_v16_en_p2_c7,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,2,7,7,"nnected to an
enterprise network or the Internet if and to the extent such a connection is necessary and only
when appropriate security measures (e.g. firewalls and/or network segmentation) are in place.
For additional information on industrial security measures that may be implemented, please visit
https://www.siemens.com/industrialsecurity.
Siemens’ products and solutions undergo continuous development to make them more secure.
Siemens strongly recommends that product updates are applied as soon as they are available
and that the latest product versions are used. Use of product versions that are no longer
supported, and failure to apply the latest updates may increase customer’s exposure to cyber
threats.
To stay informed about product updates, subscribe to the Siemens Industrial Security RSS Feed
at: https://www.siemens.com/industrialsecurity.",858,119,False
81318674_Programming_guideline_DOC_v16_en_p3_c1,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,3,1,7,"Table of Contents

Programming Guideline for S7-1200/1500
Entry ID: 81318674, V1.6, 12/2018 3

 Siemens AG 2018 All rights reserved
Table of Contents
Legal information ......................................................................................................... 2
1 Preface ................................................................................................................ 6
2 S7-1200/S7-1500 innovations ........................................................................... 8
2.1 Introduction ........................................................................................... 8
2.2 Terms ................................................................................................... 8
2.3 Programming languages .................................................................... 11
2.4 Optimized machine code ....................................................................",926,54,False
81318674_Programming_guideline_DOC_v16_en_p3_c2,81318674_Programming_guideline_DOC_v16_en.csv,Programming Guideline for S7-1200/1500 (TIA Portal),Programming Guideline,S7-1200/S7-1500,81318674,1.6,en,3,2,7,"................................................... 11
2.4 Optimized machine code .................................................................... 11
2.5 Block creation ..................................................................................... 12
2.6 Optimized blocks ................................................................................ 13
2.6.1 S7-1200: Structure of optimized blocks ............................................. 13
2.6.2 S7-1500: Structure of optimized blocks ............................................. 14
2.6.3 Processor-optimized data storage for S7-1500 ................................. 15
2.6.4 Conversion between optimized and non-optimized tags ................... 18
2.6.5 Parameter transfer between blocks with optimized and non-
optimized access ................................................................................ 19
2.6.6 Communication with optimized data ..................................................",979,70,False
